Rep,Off.Counts,Mating.Type
1,55,Sib-Sib
2,63,Sib-Sib
3,0,Sib-Sib
4,0,Sib-Sib
5,89,Sib-Sib
6,41,Sib-Sib
7,38,Sib-Sib
8,81,Sib-Sib
9,83,Sib-Sib
10,0,Sib-Sib
11,87,Sib-Sib
12,89,Sib-Sib
13,41,Sib-Sib
14,55,Sib-Sib
15,57,Sib-Sib
16,0,Sib-Sib
17,92,Sib-Sib
18,0,Sib-Sib
19,74,Sib-Sib
20,86,Sib-Sib
21,6,Sib-Sib
22,50,Sib-Sib
23,0,Sib-Sib
24,0,Sib-Sib
25,36,Sib-Sib
26,96,Sib-Sib
27,40,Sib-Sib
28,0,Sib-Sib
29,69,Sib-Sib
30,39,Sib-Sib
31,0,Sib-Sib
32,35,Sib-Sib
33,59,Sib-Sib
34,59,Sib-Sib
35,47,Sib-Sib
36,31,Sib-Sib
37,74,Sib-Sib
38,0,Sib-Sib
39,60,Sib-Sib
40,79,Sib-Sib
41,70,Sib-Sib
42,83,Sib-Sib
1,120,Non-Non
2,124,Non-Non
3,75,Non-Non
4,79,Non-Non
5,115,Non-Non
6,105,Non-Non
7,95,Non-Non
8,116,Non-Non
9,0,Non-Non
10,104,Non-Non
11,107,Non-Non
12,110,Non-Non
13,82,Non-Non
14,112,Non-Non
15,89,Non-Non
16,0,Non-Non
17,110,Non-Non
18,83,Non-Non
19,74,Non-Non
20,132,Non-Non
21,74,Non-Non
22,20,Non-Non
23,81,Non-Non
24,54,Non-Non
25,72,Non-Non
26,59,Non-Non
27,107,Non-Non
28,92,Non-Non
29,0,Non-Non
30,71,Non-Non
31,80,Non-Non
32,0,Non-Non
33,64,Non-Non
34,42,Non-Non
35,100,Non-Non
36,99,Non-Non
37,76,Non-Non
38,81,Non-Non
39,79,Non-Non
40,99,Non-Non
41,43,Non-Non
42,30,Non-Non
1,53,Non-Sib
2,44,Non-Sib
3,0,Non-Sib
4,84,Non-Sib
5,123,Non-Sib
6,80,Non-Sib
7,40,Non-Sib
8,64,Non-Sib
9,81,Non-Sib
10,9,Non-Sib
11,95,Non-Sib
12,0,Non-Sib
13,74,Non-Sib
14,52,Non-Sib
15,93,Non-Sib
16,60,Non-Sib
17,68,Non-Sib
18,0,Non-Sib
19,101,Non-Sib
20,14,Non-Sib
21,15,Non-Sib
22,43,Non-Sib
23,36,Non-Sib
24,94,Non-Sib
25,36,Non-Sib
26,90,Non-Sib
27,62,Non-Sib
28,60,Non-Sib
29,101,Non-Sib
30,95,Non-Sib
31,64,Non-Sib
32,91,Non-Sib
33,28,Non-Sib
34,44,Non-Sib
35,91,Non-Sib
36,50,Non-Sib
37,53,Non-Sib
38,36,Non-Sib
39,0,Non-Sib
40,73,Non-Sib
41,103,Non-Sib
42,64,Non-Sib
1,91,Sib-Non
2,88,Sib-Non
3,55,Sib-Non
4,114,Sib-Non
5,104,Sib-Non
6,107,Sib-Non
7,126,Sib-Non
8,108,Sib-Non
9,39,Sib-Non
10,0,Sib-Non
11,11,Sib-Non
12,81,Sib-Non
13,65,Sib-Non
14,78,Sib-Non
15,77,Sib-Non
16,93,Sib-Non
17,100,Sib-Non
18,74,Sib-Non
19,117,Sib-Non
20,46,Sib-Non
21,58,Sib-Non
22,27,Sib-Non
23,51,Sib-Non
24,83,Sib-Non
25,51,Sib-Non
26,63,Sib-Non
27,38,Sib-Non
28,71,Sib-Non
29,82,Sib-Non
30,0,Sib-Non
31,78,Sib-Non
32,94,Sib-Non
33,18,Sib-Non
34,44,Sib-Non
35,41,Sib-Non
36,87,Sib-Non
37,66,Sib-Non
38,35,Sib-Non
39,56,Sib-Non
40,67,Sib-Non
41,0,Sib-Non
42,90,Sib-Non