Mate.Type,Dur.Seconds,Treat,Rep
related,95,Fem.Choice,1
unrelated,97,Fem.Choice,2
related,50,Fem.Choice,3
unrelated,85,Fem.Choice,4
unrelated,79,Fem.Choice,5
related,74,Fem.Choice,6
unrelated,248,Fem.Choice,7
related,70,Fem.Choice,8
related,110,Fem.Choice,9
related,40,Fem.Choice,10
unrelated,54,Fem.Choice,11
unrelated,54,Fem.Choice,12
unrelated,83,Fem.Choice,13
related,72,Fem.Choice,14
unrelated,79,Fem.Choice,15
unrelated,120,Fem.Choice,16
unrelated,81,Fem.Choice,17
related,58,Fem.Choice,18
unrelated,127,Fem.Choice,19
related,84,Fem.Choice,20
related,106,Fem.Choice,21
unrelated,74,Fem.Choice,22
unrelated,57,Fem.Choice,23
related,40,Fem.Choice,24
related,280,Fem.Choice,25
related,101,Fem.Choice,26
unrelated,73,Fem.Choice,27
unrelated,139,Fem.Choice,28
related,134,Fem.Choice,29
unrelated,53,Fem.Choice,30
unrelated,134,Fem.Choice,31