Rep,Mate.Type,Dur.Seconds,Treat
1,related,42,Male.Choice
2,related,44,Male.Choice
3,unrelated,52,Male.Choice
4,related,40,Male.Choice
5,unrelated,54,Male.Choice
6,related,55,Male.Choice
7,related,87,Male.Choice
8,related,52,Male.Choice
9,unrelated,70,Male.Choice
10,unrelated,170,Male.Choice
11,related,109,Male.Choice
12,unrelated,91,Male.Choice
13,unrelated,216,Male.Choice
14,unrelated,149,Male.Choice
15,related,169,Male.Choice
16,unrelated,40,Male.Choice
17,unrelated,47,Male.Choice
18,unrelated,49,Male.Choice
19,unrelated,90,Male.Choice
20,related,120,Male.Choice
21,unrelated,115,Male.Choice
22,unrelated,50,Male.Choice
23,unrelated,145,Male.Choice
24,unrelated,63,Male.Choice
25,related,195,Male.Choice
26,unrelated,240,Male.Choice
27,unrelated,583,Male.Choice